case_id,case_family,category,query,expected_action,expected_reason,actual_action,actual_reason,claim_recall_pct,context_precision_pct,faithfulness_pct,claim_f1_pct,nrr_correct,retrieval_attempt,retrieval_status,retry_used,retry_outcome,packed_context_count,packed_context_chars,candidate_count,gold_candidate_hits,gold_pack_hits,pipeline_fingerprint,requested_provider,requested_model,actual_provider,actual_model,llm_fallback_used,primary_classification,root_cause_layer,severity,secondary_flags,baseline_case_delta,baseline_comparison,evidence_summary,audit_notes
ANS-ADV-002,answerable_single_turn,adverse_effects_precautions,Có thể bắt đầu benzoyl peroxide hoặc retinoid bôi thế nào để giảm kích ứng?,generate,,generate,evidence_sufficient,33.33333333333333,25.0,100.0,0.0,,1,ok,false,,4,5929,28,0,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,high_faithfulness|low_claim_recall|low_context_precision|retrieval_noise,"{""claim_f1"": -28.5714, ""claim_recall"": 0.0, ""context_precision"": 0.0, ""faithfulness"": 0.0}",REGRESSED,"gold_ids=1; candidate_hits=0; pack_hits=0; CR=33.33333333333333; response_recall=0.3333; response_precision=0.0000; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Packed evidence did not cover all gold claims and no additional exact gold provenance was available to the packer.
ANS-ADV-003,answerable_single_turn,adverse_effects_precautions,Những nhóm thuốc trị mụn nào được nêu là chống chỉ định khi mang thai?,generate,,generate,evidence_sufficient,50.0,12.5,54.54545454545454,30.76923076923077,,1,ok,false,,8,4459,23,0,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_UNSUPPORTED_GENERATION,generation,HIGH,full_8_item_pack|low_claim_recall|low_context_precision|low_faithfulness|over_answering|retrieval_noise,"{""claim_f1"": -9.2308, ""claim_recall"": 25.0, ""context_precision"": -12.5, ""faithfulness"": -23.2323}",MIXED,"gold_ids=1; candidate_hits=0; pack_hits=0; CR=50.0; response_recall=1.0000; response_precision=0.1818; faithfulness=54.54545454545454; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Saved entailment labels show material response claims not supported by the packed contexts.
ANS-ADV-004,answerable_single_turn,adverse_effects_precautions,Các thuốc bôi nào được nguồn AAD xem là ít khả năng gây hại thai do hấp thu hạn chế?,generate,,generate,evidence_sufficient,100.0,50.0,100.0,80.0,,1,ok,false,,4,5792,28,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,high_claim_recall|high_faithfulness|retrieval_gold_hit,"{""claim_f1"": -20.0, ""claim_recall"": 0.0, ""context_precision"": 30.0, ""faithfulness"": 0.0}",MIXED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.6667; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-ADV-005,answerable_single_turn,adverse_effects_precautions,Khi cân nhắc isotretinoin cần tư vấn và theo dõi những nhóm nguy cơ nào?,generate,,generate,evidence_sufficient,75.0,60.0,100.0,22.222222222222225,,1,ok,false,,5,5922,25,2,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,gold_missing_from_pack|high_claim_recall|high_faithfulness|retrieval_gold_hit,"{""claim_f1"": -9.3567, ""claim_recall"": 41.6667, ""context_precision"": 40.0, ""faithfulness"": 0.0}",IMPROVED,"gold_ids=2; candidate_hits=2; pack_hits=1; CR=75.0; response_recall=0.5000; response_precision=0.1429; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",At least one canonical gold chunk was a candidate but was not retained in the final pack.
ANS-ADV-006,answerable_single_turn,adverse_effects_precautions,Minocycline có những lưu ý tác dụng phụ nào so với doxycycline?,generate,,generate,evidence_sufficient,100.0,50.0,100.0,52.17391304347826,,1,ok,false,,4,5855,23,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,high_claim_recall|high_faithfulness|retrieval_gold_hit,"{""claim_f1"": 20.595, ""claim_recall"": 25.0, ""context_precision"": 25.0, ""faithfulness"": 0.0}",IMPROVED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.3529; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-ADV-007,answerable_single_turn,adverse_effects_precautions,Nguy cơ quan trọng nào cần cân nhắc khi dùng thuốc tránh thai phối hợp cho mụn?,generate,,generate,evidence_sufficient,100.0,100.0,87.5,20.0,,1,ok,false,,3,5827,27,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_GENERATION_OMISSION,generation,MEDIUM,generation_omission|high_claim_recall|high_faithfulness|retrieval_gold_hit,"{""claim_f1"": 10.9091, ""claim_recall"": 0.0, ""context_precision"": 66.6667, ""faithfulness"": 16.0714}",IMPROVED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=0.5000; response_precision=0.1250; faithfulness=87.5; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']","Gold-supporting context was complete, but the response omitted at least one required gold claim."
ANS-ADV-008,answerable_single_turn,adverse_effects_precautions,Clascoterone bôi có lưu ý về độ tuổi và kích ứng ra sao?,generate,,generate,evidence_sufficient,100.0,75.0,100.0,74.99999999999999,,1,ok,false,,4,5896,30,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,high_claim_recall|high_faithfulness|retrieval_gold_hit,"{""claim_f1"": 8.3333, ""claim_recall"": 0.0, ""context_precision"": 8.3333, ""faithfulness"": 0.0}",UNCHANGED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.6000; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-ADV-009,answerable_single_turn,adverse_effects_precautions,Thói quen cạy hoặc gãi tổn thương làm thay đổi nguy cơ sẹo thế nào?,generate,,generate,evidence_sufficient,100.0,12.5,100.0,100.0,,1,ok,false,,8,4452,21,0,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,full_8_item_pack|high_claim_recall|high_faithfulness|low_context_precision|retrieval_noise,"{""claim_f1"": 33.3333, ""claim_recall"": 0.0, ""context_precision"": 0.0, ""faithfulness"": 0.0}",IMPROVED,"gold_ids=1; candidate_hits=0; pack_hits=0; CR=100.0; response_recall=1.0000; response_precision=1.0000; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-CMP-001,answerable_single_turn,comparison_integration,Đối chiếu nhân mụn mở với nhân mụn đóng về tên gọi và hình thái bít tắc.,generate,,generate,evidence_sufficient,66.66666666666666,12.5,100.0,48.00000000000001,,1,ok,false,,8,5294,25,0,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,full_8_item_pack|high_faithfulness|low_claim_recall|low_context_precision|retrieval_noise,"{""claim_f1"": 3.5556, ""claim_recall"": 0.0, ""context_precision"": 0.0, ""faithfulness"": 0.0}",UNCHANGED,"gold_ids=1; candidate_hits=0; pack_hits=0; CR=66.66666666666666; response_recall=0.6667; response_precision=0.3750; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Packed evidence did not cover all gold claims and no additional exact gold provenance was available to the packer.
ANS-CMP-002,answerable_single_turn,comparison_integration,Hai ngưỡng NICE cho mụn nhẹ-vừa và vừa-nặng khác nhau ở số tổn thương nào?,generate,,generate,evidence_sufficient,100.0,40.0,80.0,88.8888888888889,,1,ok,false,,5,5811,25,2,2,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,high_claim_recall|high_faithfulness|retrieval_gold_hit,"{""claim_f1"": 88.8889, ""claim_recall"": 100.0, ""context_precision"": 40.0, ""faithfulness"": 80.0}",IMPROVED,"gold_ids=2; candidate_hits=2; pack_hits=2; CR=100.0; response_recall=1.0000; response_precision=0.8000; faithfulness=80.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-CMP-003,answerable_single_turn,comparison_integration,"Benzoyl peroxide có vai trò kháng khuẩn gì, C. acnes có được ghi nhận kháng hoạt chất này không, và vì sao nó được phối hợp với kháng sinh bôi?",generate,,generate,evidence_sufficient,100.0,75.0,100.0,74.99999999999999,,1,ok,false,,4,5985,27,2,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,high_claim_recall|high_faithfulness|retrieval_noise,"{""claim_f1"": 17.8571, ""claim_recall"": 0.0, ""context_precision"": 3.5714, ""faithfulness"": 20.0}",IMPROVED,"gold_ids=2; candidate_hits=2; pack_hits=0; CR=100.0; response_recall=1.0000; response_precision=0.6000; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-CMP-004,answerable_single_turn,comparison_integration,Retinoid bôi và benzoyl peroxide bổ sung nhau ở những vai trò nào?,generate,,generate,evidence_sufficient,25.0,33.33333333333333,100.0,28.571428571428577,,1,ok,false,,3,5908,27,2,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.1-flash-lite,true,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,gold_missing_from_pack|high_faithfulness|low_claim_recall|provider_fallback|retrieval_noise,"{""claim_f1"": 28.5714, ""claim_recall"": 25.0, ""context_precision"": 33.3333, ""faithfulness"": 10.0}",IMPROVED,"gold_ids=2; candidate_hits=2; pack_hits=0; CR=25.0; response_recall=0.2500; response_precision=0.3333; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",At least one canonical gold chunk was a candidate but was not retained in the final pack.
ANS-CMP-005,answerable_single_turn,comparison_integration,"Kháng sinh bôi và kháng sinh uống giống nhau ở nguyên tắc tránh đơn trị liệu, và kháng sinh uống được khuyến nghị dùng trong thời gian bao lâu?",generate,,generate,evidence_sufficient,100.0,25.0,100.0,80.0,,1,ok,false,,8,4571,23,0,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,full_8_item_pack|high_claim_recall|high_faithfulness|low_context_precision|retrieval_noise,"{""claim_f1"": 13.3333, ""claim_recall"": 0.0, ""context_precision"": -12.5, ""faithfulness"": 0.0}",MIXED,"gold_ids=2; candidate_hits=0; pack_hits=0; CR=100.0; response_recall=1.0000; response_precision=0.6667; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-CMP-006,answerable_single_turn,comparison_integration,Phác đồ phối hợp nhiều hoạt chất có lợi thế gì so với một thành phần đơn lẻ?,generate,,generate,evidence_sufficient,50.0,37.5,100.0,33.33333333333333,,1,ok,false,,8,5431,25,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,full_8_item_pack|high_faithfulness|low_claim_recall|retrieval_gold_hit,"{""claim_f1"": -26.6667, ""claim_recall"": -25.0, ""context_precision"": 12.5, ""faithfulness"": 0.0}",MIXED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=50.0; response_recall=0.5000; response_precision=0.2500; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Packed evidence did not cover all gold claims and no additional exact gold provenance was available to the packer.
ANS-CMP-007,answerable_single_turn,comparison_integration,Vì sao doxycycline hoặc lymecycline thường được ưu tiên hơn minocycline trong hướng dẫn NICE?,generate,,generate,evidence_sufficient,100.0,40.0,100.0,100.0,,1,ok,false,,5,5967,23,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,high_claim_recall|high_faithfulness|retrieval_gold_hit,"{""claim_f1"": 0.0, ""claim_recall"": 0.0, ""context_precision"": -10.0, ""faithfulness"": 0.0}",REGRESSED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=1.0000; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-CMP-008,answerable_single_turn,comparison_integration,Isotretinoin khác điều trị chuẩn ban đầu ở chỉ định và yêu cầu giám sát thế nào?,generate,,generate,evidence_sufficient,90.0,75.0,91.66666666666666,61.53846153846154,,1,ok,false,,4,5763,23,2,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,gold_missing_from_pack|high_claim_recall|high_faithfulness|retrieval_gold_hit,"{""claim_f1"": 15.3846, ""claim_recall"": 2.5, ""context_precision"": 15.0, ""faithfulness"": -8.3333}",IMPROVED,"gold_ids=2; candidate_hits=2; pack_hits=1; CR=90.0; response_recall=0.8000; response_precision=0.5000; faithfulness=91.66666666666666; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",At least one canonical gold chunk was a candidate but was not retained in the final pack.
ANS-CMP-009,answerable_single_turn,comparison_integration,"Sản phẩm rửa và mỹ phẩm cho da mụn nên chọn khác sản phẩm nền dầu, gây bít tắc như thế nào?",generate,,generate,evidence_sufficient,42.857142857142854,16.666666666666664,100.0,0.0,,1,ok,false,,6,5868,24,0,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,high_faithfulness|low_claim_recall|low_context_precision|retrieval_noise,"{""claim_f1"": -13.3333, ""claim_recall"": 26.1905, ""context_precision"": 4.1667, ""faithfulness"": 22.2222}",MIXED,"gold_ids=1; candidate_hits=0; pack_hits=0; CR=42.857142857142854; response_recall=0.0000; response_precision=0.2000; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Packed evidence did not cover all gold claims and no additional exact gold provenance was available to the packer.
ANS-CMP-010,answerable_single_turn,comparison_integration,"Tăng sắc tố sau viêm hình thành do gì, còn sẹo teo sau mụn thường được chia thành những dạng nào?",generate,,generate,evidence_sufficient,0.0,0.0,0.0,0.0,,1,ok,false,,8,4795,24,0,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,full_8_item_pack|low_claim_recall|low_context_precision|low_faithfulness|retrieval_noise,"{""claim_f1"": 0.0, ""claim_recall"": 0.0, ""context_precision"": 0.0, ""faithfulness"": 0.0}",IMPROVED,"gold_ids=2; candidate_hits=0; pack_hits=0; CR=0.0; response_recall=0.0000; response_precision=0.0000; faithfulness=0.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Neither gold provenance item reached candidates; the answer reported insufficient information instead of inventing clinical content.
ANS-REF-001,answerable_single_turn,referral_care_seeking,Trường hợp mụn fulminans cần được chuyển khám nhanh đến mức nào?,generate,,generate,evidence_sufficient,100.0,100.0,100.0,74.99999999999999,,1,ok,false,,3,5823,26,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,high_claim_recall|high_faithfulness|retrieval_gold_hit,"{""claim_f1"": 0.0, ""claim_recall"": 0.0, ""context_precision"": 33.3333, ""faithfulness"": 0.0}",IMPROVED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.6000; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-REF-002,answerable_single_turn,referral_care_seeking,Những thể mụn nặng nào là lý do chuyển đội chuyên khoa da liễu?,generate,,generate,evidence_sufficient,100.0,50.0,50.0,50.0,,1,ok,false,,4,5942,29,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,EXPECTED_METRIC_BEHAVIOR,metric_behavior,LOW,expected_metric_penalty|high_claim_recall|low_faithfulness|retrieval_gold_hit,"{""claim_f1"": 0.0, ""claim_recall"": 0.0, ""context_precision"": 10.0, ""faithfulness"": -33.3333}",MIXED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.3333; faithfulness=50.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",The answer covers all referral criteria; low faithfulness comes from parenthetical alias claims not matched to context by the evaluator.
ANS-REF-003,answerable_single_turn,referral_care_seeking,"Nếu chưa chắc tổn thương có thật sự là mụn, hướng dẫn xử trí tuyến chuyên môn ra sao?",generate,,abstain,evidence_gap,0.0,0.0,0.0,0.0,,1,ok,false,,8,5101,25,0,0,5991f3c8effb67091fd6274c,,,system,,false,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,false_abstention|full_8_item_pack|low_claim_recall|low_context_precision|low_faithfulness|retrieval_noise,"{""claim_f1"": 0.0, ""claim_recall"": 0.0, ""context_precision"": 0.0, ""faithfulness"": 0.0}",UNCHANGED,"gold_ids=1; candidate_hits=0; pack_hits=0; CR=0.0; response_recall=0.0000; response_precision=0.0000; faithfulness=0.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'abstain']",Canonical gold provenance did not reach saved candidates; the downstream abstention followed undercoverage.
ANS-REF-004,answerable_single_turn,referral_care_seeking,"Khi các liệu trình chuẩn phù hợp đều thất bại, có nên cân nhắc chuyển chuyên khoa không?",generate,,generate,evidence_sufficient,0.0,0.0,100.0,0.0,,1,ok,false,,4,5856,28,1,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,gold_missing_from_pack|high_faithfulness|low_claim_recall|low_context_precision|retrieval_noise,"{""claim_f1"": 0.0, ""claim_recall"": 0.0, ""context_precision"": 0.0, ""faithfulness"": 100.0}",IMPROVED,"gold_ids=1; candidate_hits=1; pack_hits=0; CR=0.0; response_recall=0.0000; response_precision=0.0000; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",At least one canonical gold chunk was a candidate but was not retained in the final pack.
ANS-REF-005,answerable_single_turn,referral_care_seeking,Sẹo hoặc thay đổi sắc tố kéo dài liên quan đến quyết định chuyển chuyên khoa như thế nào?,generate,,generate,evidence_sufficient,100.0,100.0,100.0,54.54545454545454,,1,ok,false,,3,5814,25,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,high_claim_recall|high_faithfulness|retrieval_gold_hit,"{""claim_f1"": -45.4545, ""claim_recall"": 0.0, ""context_precision"": 66.6667, ""faithfulness"": 0.0}",MIXED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.3750; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-REF-006,answerable_single_turn,referral_care_seeking,Ảnh hưởng tâm lý do mụn khi nào cần được xem là lý do tìm hỗ trợ chuyên môn?,generate,,generate,evidence_sufficient,100.0,66.66666666666666,100.0,25.0,,1,ok,false,,3,5983,27,2,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_GENERATION_OVER_ANSWERING,generation,LOW,high_claim_recall|high_faithfulness|over_answering|retrieval_gold_hit,"{""claim_f1"": 25.0, ""claim_recall"": 25.0, ""context_precision"": -13.3333, ""faithfulness"": 100.0}",IMPROVED,"gold_ids=2; candidate_hits=2; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.1429; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']","Core gold claims were covered and grounded, but the response added substantially more supported claims than requested."
ANS-MUL-001,answerable_multi_turn,pronoun_coreference,Thuốc bôi đó tác động lên androgen bằng cách nào?,generate,,generate,evidence_sufficient,100.0,75.0,100.0,33.33333333333333,,1,ok,false,,4,5879,29,1,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_GENERATION_OMISSION,generation,MEDIUM,generation_omission|high_claim_recall|high_faithfulness|multi_turn|retrieval_noise,"{""claim_f1"": 4.7619, ""claim_recall"": 0.0, ""context_precision"": 12.5, ""faithfulness"": 0.0}",IMPROVED,"gold_ids=1; candidate_hits=1; pack_hits=0; CR=100.0; response_recall=0.5000; response_precision=0.2500; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']","Gold-supporting context was complete, but the response omitted at least one required gold claim."
ANS-MUL-002,answerable_multi_turn,pronoun_coreference,Hoạt chất này làm thông thoáng lỗ chân lông nhưng không diệt vi khuẩn đúng không?,generate,,generate,evidence_sufficient,100.0,60.0,100.0,57.14285714285715,,1,ok,false,,5,5831,25,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,high_claim_recall|high_faithfulness|multi_turn|retrieval_gold_hit,"{""claim_f1"": 23.8095, ""claim_recall"": 50.0, ""context_precision"": 26.6667, ""faithfulness"": 25.0}",IMPROVED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.4000; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-MUL-003,answerable_multi_turn,pronoun_coreference,Thuốc đó ảnh hưởng tuyến bã bằng những cơ chế nào và được cân nhắc cho mức độ nào?,generate,,generate,evidence_sufficient,71.42857142857143,25.0,100.0,58.823529411764696,,1,ok,false,,4,5782,31,2,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,gold_missing_from_pack|high_faithfulness|low_claim_recall|low_context_precision|multi_turn|retrieval_gold_hit,"{""claim_f1"": -10.9439, ""claim_recall"": 1.4286, ""context_precision"": 0.0, ""faithfulness"": 0.0}",REGRESSED,"gold_ids=2; candidate_hits=2; pack_hits=1; CR=71.42857142857143; response_recall=0.7143; response_precision=0.5000; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",At least one canonical gold chunk was a candidate but was not retained in the final pack.
ANS-MUL-004,answerable_multi_turn,pronoun_coreference,Liệu pháp này phù hợp với nhóm nào và cần lưu ý gì nếu có thể mang thai?,generate,,generate,evidence_sufficient,66.66666666666666,50.0,100.0,57.14285714285715,,1,ok,false,,8,5978,28,2,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,full_8_item_pack|gold_missing_from_pack|high_faithfulness|low_claim_recall|multi_turn|retrieval_gold_hit,"{""claim_f1"": 17.1429, ""claim_recall"": 0.0, ""context_precision"": 7.1429, ""faithfulness"": 14.2857}",IMPROVED,"gold_ids=2; candidate_hits=2; pack_hits=1; CR=66.66666666666666; response_recall=1.0000; response_precision=0.4000; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",At least one canonical gold chunk was a candidate but was not retained in the final pack.
ANS-MUL-005,answerable_multi_turn,pronoun_coreference,Lựa chọn bôi đó có những nồng độ nào và nguồn thai kỳ nhận định ra sao?,generate,,generate,evidence_sufficient,25.0,25.0,100.0,36.36363636363637,,1,ok,false,,4,5968,23,2,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,gold_missing_from_pack|high_faithfulness|low_claim_recall|low_context_precision|multi_turn|retrieval_gold_hit,"{""claim_f1"": -10.6952, ""claim_recall"": -8.3333, ""context_precision"": 8.3333, ""faithfulness"": 0.0}",REGRESSED,"gold_ids=2; candidate_hits=2; pack_hits=1; CR=25.0; response_recall=0.2500; response_precision=0.6667; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",At least one canonical gold chunk was a candidate but was not retained in the final pack.
ANS-MUL-006,answerable_multi_turn,follow_up_continuity,Nếu da dễ kích ứng thì nên bắt đầu nhóm này ra sao?,generate,,generate,evidence_sufficient,0.0,0.0,100.0,0.0,,1,ok,false,,8,4257,23,0,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_MULTI_TURN_CONTEXT,multi_turn,MEDIUM,full_8_item_pack|generation_omission|high_faithfulness|low_claim_recall|low_context_precision|multi_turn|retrieval_noise,"{""claim_f1"": -33.3333, ""claim_recall"": -50.0, ""context_precision"": -28.5714, ""faithfulness"": 0.0}",REGRESSED,"gold_ids=1; candidate_hits=0; pack_hits=0; CR=0.0; response_recall=0.0000; response_precision=0.7500; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",The follow-up/topic-isolation path did not preserve all required current-turn evidence or claims.
ANS-MUL-007,answerable_multi_turn,follow_up_continuity,Còn thời gian dùng và yêu cầu phối hợp của thuốc uống này thì sao?,generate,,generate,evidence_sufficient,100.0,37.5,100.0,66.66666666666666,,1,ok,false,,8,5904,23,0,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,full_8_item_pack|high_claim_recall|high_faithfulness|multi_turn|retrieval_noise,"{""claim_f1"": 16.6667, ""claim_recall"": 33.3333, ""context_precision"": 25.0, ""faithfulness"": 0.0}",IMPROVED,"gold_ids=1; candidate_hits=0; pack_hits=0; CR=100.0; response_recall=1.0000; response_precision=0.5000; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
